"_id","group","item","_label","dist"
52717,3647,960,contains,
52718,3647,961,contains,
52719,3647,962,contains,
52720,3647,963,contains,
52721,3647,964,contains,
52722,3647,965,contains,
52723,3647,966,contains,
52724,3647,967,contains,
52725,3647,968,contains,
52726,3647,969,contains,
52727,3647,970,contains,
52728,3496,971,contains,
52729,3634,972,contains,
52730,3650,973,contains,
52731,3580,974,contains,
52732,3434,975,contains,
52733,3434,976,contains,
52734,3434,977,contains,
52735,3434,978,contains,
52736,3434,979,contains,
52737,3434,980,contains,
52738,3434,981,contains,
52739,3434,982,contains,
52740,3434,983,contains,
52741,3434,984,contains,
52742,3434,985,contains,
52743,3434,986,contains,
52744,3434,987,contains,
52745,3434,988,contains,
52746,3434,989,contains,
52747,3434,990,contains,
52748,3434,991,contains,
52749,3434,992,contains,
52750,3434,993,contains,
52751,3434,994,contains,
52752,3434,995,contains,
52753,3434,996,contains,
52754,3434,997,contains,
52755,3434,998,contains,
52756,3434,999,contains,
52757,3434,1000,contains,
52758,3434,1001,contains,
52759,3434,1002,contains,
52760,3434,1003,contains,
52761,3577,1004,contains,
52762,3434,1005,contains,
52763,3434,1006,contains,
52764,3434,1007,contains,
52765,3434,1008,contains,
52766,3434,1009,contains,
52767,3434,1010,contains,
52768,3434,1011,contains,
52769,3434,1012,contains,
52770,3434,1013,contains,
52771,3434,1014,contains,
52772,3434,1015,contains,
52773,3580,1016,contains,
52774,3580,1017,contains,
52775,3580,1018,contains,
52776,3580,1019,contains,
52777,3580,1020,contains,
52778,3580,1021,contains,
52779,3580,1022,contains,
52780,3580,1023,contains,
52781,3580,1024,contains,
52782,3580,1025,contains,
52783,3580,1026,contains,
52784,3580,1027,contains,
52785,3580,1028,contains,
52786,3580,1029,contains,
52787,3580,1030,contains,
52788,3580,1031,contains,
52789,3580,1032,contains,
52790,3464,1033,contains,
52791,3594,1034,contains,
52792,3597,1035,contains,
52793,3594,1036,contains,
52794,3594,1037,contains,
52795,3597,1038,contains,
52796,3597,1039,contains,
52797,3597,1040,contains,
52798,3478,1041,contains,
52799,3464,1042,contains,
52800,3464,1043,contains,
52801,3464,1044,contains,
52802,3464,1045,contains,
52803,3464,1046,contains,
52804,3464,1047,contains,
52805,3464,1048,contains,
52806,3464,1049,contains,
52807,3561,1050,contains,
52808,3647,1051,contains,
52809,3647,1052,contains,
